Conjunto de resultados 1:
Nationality	MonthYear	FlightCount
Kiribati	07-2022	4
Kosovo	01-2022	13
Kuwait	05-2022	8
Kyrgyzstan	07-2022	13
Laos	10-2022	13
Latvia	07-2022	21
Lebanon	04-2022	8
Lebanon	12-2022	8
Lesotho	06-2022	4
Liberia	07-2022	7
Libya	03-2022	13
Libya	07-2022	13
Libya	10-2022	13
Liechtenstein	11-2022	3
Lithuania	08-2022	22
Luxembourg	06-2022	20
Macao	02-2022	2
Macedonia	01-2022	28
Macedonia	02-2022	28
Macedonia	03-2022	28
Macedonia	09-2022	28
Madagascar	07-2022	25
Malawi	02-2022	8
Malawi	05-2022	8
Malaysia	01-2022	47
Maldives	08-2022	7
Mali	08-2022	15
Malta	04-2022	11
Marshall Islands	08-2022	10
Martinique	08-2022	4
Mauritania	11-2022	5
Mauritania	12-2022	5
Mauritius	06-2022	17
Mayotte	10-2022	4
Mayotte	11-2022	4
Mexico	01-2022	101
Micronesia	11-2022	10
Moldova	09-2022	13
Monaco	08-2022	4
Mongolia	10-2022	47
Montenegro	06-2022	8
Montenegro	07-2022	8
Montserrat	10-2022	2
Montserrat	11-2022	2
Morocco	03-2022	45
Mozambique	12-2022	10
Myanmar	05-2022	18
Myanmar	12-2022	18
Namibia	07-2022	7
Nauru	07-2022	2
Nepal	03-2022	17
Netherlands	05-2022	47
New Caledonia	03-2022	7
New Zealand	09-2022	24
Nicaragua	06-2022	28
Niger	12-2022	14
Nigeria	09-2022	90
Niue	07-2022	2
Norfolk Island	03-2022	1
North Korea	02-2022	22
Northern Mariana Islands	01-2022	1
Northern Mariana Islands	05-2022	1
Northern Mariana Islands	10-2022	1
Northern Mariana Islands	12-2022	1
Norway	01-2022	41
Norway	04-2022	41
Norway	08-2022	41
Norway	11-2022	41
Oman	03-2022	7
Pakistan	11-2022	56
Palau	07-2022	6
Palestinian Territory	11-2022	40
Panama	06-2022	23
Panama	11-2022	23
Papua New Guinea	03-2022	8
Paraguay	08-2022	19
Peru	10-2022	156
Philippines	11-2022	487
Pitcairn	10-2022	2
Poland	07-2022	290
Portugal	03-2022	311
Puerto Rico	03-2022	3
Puerto Rico	06-2022	3
Qatar	09-2022	4
Republic of the Congo	09-2022	6
Reunion	10-2022	5
Romania	10-2022	1
Romania	12-2022	1
Russia	01-2022	508
Rwanda	03-2022	3
Saint Helena	01-2022	1
Saint Helena	11-2022	1
Saint Kitts and Nevis	04-2022	4
Saint Lucia	06-2022	4
Saint Martin	05-2022	1
Saint Martin	10-2022	1
Saint Pierre and Miquelon	06-2022	2
Saint Vincent and the Grenadines	09-2022	3
Samoa	02-2022	3
Samoa	06-2022	3
Samoa	12-2022	3
San Marino	06-2022	3
San Marino	09-2022	3
Sao Tome and Principe	06-2022	1
Sao Tome and Principe	09-2022	1
Sao Tome and Principe	12-2022	1
Saudi Arabia	10-2022	15
Senegal	05-2022	15
Serbia	10-2022	51
Serbia	12-2022	51
Seychelles	01-2022	4
Sierra Leone	02-2022	15
Singapore	11-2022	2
Sint Maarten	09-2022	1
Slovakia	10-2022	2
Slovenia	08-2022	39
Solomon Islands	02-2022	2
Solomon Islands	03-2022	2
Solomon Islands	09-2022	2
Solomon Islands	12-2022	2
Somalia	12-2022	9
South Africa	08-2022	62
South Georgia and the South Sandwich Islands	09-2022	2
South Korea	08-2022	38
South Sudan	01-2022	3
South Sudan	03-2022	3
South Sudan	05-2022	3
Spain	03-2022	26
Spain	05-2022	26
Sri Lanka	05-2022	17
Sudan	03-2022	11
Suriname	06-2022	5
Svalbard and Jan Mayen	03-2022	1
Svalbard and Jan Mayen	12-2022	1
Swaziland	02-2022	5
Sweden	05-2022	226
Switzerland	08-2022	9
Syria	10-2022	36
Taiwan	03-2022	8
Tajikistan	03-2022	15
Tajikistan	07-2022	15
Tajikistan	08-2022	15
Tanzania	09-2022	40
Thailand	01-2022	135
Togo	04-2022	5
Togo	10-2022	5
Tokelau	04-2022	2
Tonga	11-2022	3
Trinidad and Tobago	06-2022	5
Tunisia	06-2022	34
Turkey	09-2022	4
Turkmenistan	11-2022	8
Tuvalu	06-2022	3
Tuvalu	09-2022	3
U.S. Virgin Islands	10-2022	2
Uganda	09-2022	26
Ukraine	05-2022	149
United Arab Emirates	12-2022	7
United Kingdom	04-2022	20
United States	09-2022	203
Uruguay	09-2022	16
Uzbekistan	10-2022	23
Vanuatu	11-2022	3
Venezuela	01-2022	47
Vietnam	08-2022	82
Wallis and Futuna	01-2022	2
Wallis and Futuna	02-2022	2
Wallis and Futuna	04-2022	2
Western Sahara	05-2022	2
Yemen	10-2022	42
Zambia	05-2022	14
Zimbabwe	05-2022	13

